,VDD,Temperature,Rotation Speed,Gradient,Wind Speed
0,3.363,22.55,147,10,2.33
1,3.363,22.36,147,10,2.33
2,3.363,22.36,148,0,3.64
3,3.363,22.36,148,0,3.64
4,3.363,22.36,146,0,3.62
5,3.363,22.36,148,0,3.64
6,3.363,22.36,148,15,0.96
7,3.363,22.18,147,10,2.33
8,3.363,22.36,148,0,3.64
9,3.41,22.18,146,10,2.32
10,3.363,22.36,148,10,2.34
11,3.363,22.18,147,10,2.33
12,3.363,22.36,148,0,3.64
13,3.363,22.36,148,10,2.34
14,3.363,22.36,147,15,0.91
15,3.363,22.36,146,0,3.62
16,3.363,22.36,145,0,3.61
17,3.363,24.55,147,5,3.06
18,3.363,24.36,147,10,2.33
19,3.363,22.36,145,10,2.3
20,3.363,22.18,147,5,3.06
21,3.363,22.36,147,15,0.91
22,3.363,22.18,146,15,0.86
23,3.363,22.36,148,0,3.64
24,3.363,22.18,148,0,3.64
25,3.363,22.18,147,0,3.63
26,3.363,22.18,147,0,3.63
27,3.363,22.36,148,0,3.64
28,3.363,22.36,147,0,3.63
29,3.363,22.36,148,0,3.64
30,3.363,22.36,149,10,2.36
31,3.363,22.36,147,0,3.63
32,3.363,22.18,147,10,2.33
